daytime,credit,contents,require
【その他】【】▼1/12金▼18：00～20：00,2,第14回民間総合調停センター研修▼ 国民生活センターの紛争解決委員会（ADR）の役割と課題▼ ～民間型ADRは本当に“使える”のか？「民間型ADR」が果たす▼ 役割を考える～▼◇井口尚志（国民生活センター紛争解決委員会事務局）、 内垣大輔（国民生活センター紛争解決委員会事務局）、 坂東俊矢（当会会員）,◆（公社）民間総合調停センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼1/17水▼13：30～17：00,4,シンガポール国際仲裁、国際調停の最新実務2018年▼◇Seah S Lee（シンガポール国際仲裁センター北東アジア代表）、 Hazel Tang Bik Kwan（シンガポール国際調停センターディレクター）、 栗田哲郎（第二東京弁護士会会員）、 多田 慎（当会会員）、 小林和弘（当会会員）,◆（公社）日本仲裁人協会関西支部● 大阪商工会議所▼□当会会員／無料▼■大阪府立国際会議場
【民事・商事】【】▼3/23金▼13：00～17：00,4,東京大阪四会倒産法部シンポジウム「債権法改正と倒産」▼◇山本和彦（一橋大学法学研究科教授）、 縣 俊介（東京弁護士会会員）、 髙井章光（第二東京弁護士会会員）、 千賀卓郎（大阪地裁第6民事部判事）、 赫 高規（当会会員）、 志甫治宣（東京弁護士会会員）、 森 倫洋（第一東京弁護士会会員）、 木村真也（当会会員）,◆司法委員会● 民法改正問題特別委員会● 研修センター● 倒産法実務研究会● 東京弁護士会倒産法部● 第一東京弁護士会倒産法研究部会● 第二東京弁護士会倒産法研究会▼□当会会員● 学者● 裁判官● 金融機関関係者等／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼3/29木▼15：00～17：00,2,成年後見研修⑦成年後見アドバンス研修「後見制度支援信託」～検討事案の実務上の留意点～（2015/9/25ライブ実施分DVD研修）▼◇青木佳史（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
