daytime,credit,contents,require
【民事・商事】【】▼9/12火▼17：30～20：00,3,倒産手続実務・基礎研修▼ 第2回「個人再生手続」▼◇当会会員および裁判所書記官の予定,◆司法委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/13水▼14：00～17：00,3,【日弁連ライブ実務研修】生活困窮者に対する法的支援▼ ～関係諸機関との連携のポイント～▼◇朝比奈ミカ（中核地域生活支援センターがじゅまるセンター長）▼ 日置真世（よりそいホットライン全国コーディネーター）▼ 篠田奈保子（釧路弁護士会会員）▼ 浦﨑寛泰（東京弁護士会会員）,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/13水▼18：00～20：00,2,公益社団法人大阪府建築士会合同研修▼ 「建物の応急危険度判定の実務」▼◇繁松祐行（当会会員）▼ 守屋一之（大阪府建築士会）（予定）▼ 堺市職員,◆災害復興支援委員会▼  公益社団法人大阪府建築士会▼□当会会員▼ 近弁連会員▼ 公益社団法人大阪府建築士会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/15金▼15：00～17：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/16土▼14：30～16：30,2,憲法問題特別委員会 憲法市民講座▼ 第14回「ビッグデータとプライバシー」▼◇宍戸常寿（東京大学大学院法学政治学研究科教授）,◆憲法問題特別委員会▼□当会会員▼ 一般市民／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/19火▼18：00～20：00,2,各種法人の実務 第3回「医療法人の現状と課題 ～基礎的事項を中心に～」▼◇竹本昌史 （当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/20水▼18：30～20：30,2,第12回民間総合調停センター研修▼ 『対人援助職の問題解決に向けた事実へのアプローチ～臨床心理士の視点～』▼◇橋本和明（花園大学社会福祉学部教授、臨床心理士、元家裁調査官）,◆（公社）民間総合調停センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/21木▼16：30～18：30,2,憲法問題特別委員会連続学習会▼ 第81回「最高裁判所判例をつくりだすための憲法訴訟戦略」▼◇泉 徳治（東京弁護士会会員、元最高裁判事）,◆憲法問題特別委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼9/25月▼15：00～17：00,2,平成29年度 破産管財事務研修（2017/7/4ライブ実施分DVD研修）▼◇檀上信介（大阪地裁第6民事部判事補）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/25月▼18：00～20：00,2,各種法人の実務 第4回「社会福祉法人の実務～高齢者事業の基礎的理解を中心に～」▼◇松宮良典 （当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼9/27水▼13：30～16：00,3,触法障害者と向き合う刑事弁護（2016/5/27ライブ実施分DVD研修）▼◇西村武彦（札幌弁護士会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/29金▼13：00～15：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/29金▼14：00～16：00,2,廃棄物処理法のコンプライアンスについて▼◇佐藤 泉（東京弁護士会会員）,◆近弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/2月▼16：00～18：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/5木▼16：00～18：00,2,成年後見研修①成年後見総論（2017/1/13ライブ実施分DVD研修）▼◇井上計雄（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼10/13金▼10：00～12：30,3,障害者刑事弁護入門（2016/2/24ライブ実施分DVD研修）▼◇池田直樹（38期）（当会会員）▼ 高橋昌子（当会会員）▼ 荒木晋之介（当会会員）▼ 辻川圭乃（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/23月▼15：00～17：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/26木▼10：00～12：30,3,ひまわり支援弁護士登録研修▼ ①法律相談基礎研修（2016/12/1ライブ実施分DVD研修）▼◇中西 基（当会会員）▼ 徳村初美（当会会員）▼ 小谷真由香（当会会員）▼ 近藤厚志（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/30月▼13：00～15：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/31火▼13：00～15：00,2,成年後見研修③身上監護の実務（2017/2/24ライブ実施分DVD研修）▼◇梅津和弘（社会福祉士）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
