貧困問題連続市民講座リターンズ第1回「こんな社会に誰がした？国民総「最底辺」社会」▼【日時】2017-08-0918：30～20：30▼【場所】大阪弁護士会館2階ホール
弁護士会館完全閉館▼※レターケース、地下駐車場も利用できません。▼【日時】2017-08-12▼【場所】
ランチタイムコンサート▼【日時】2017-08-2512：00～▼【場所】大阪弁護士会館2階ホール
第20回弁護士業務改革シンポジウム▼【日時】2017-09-0910：00～▼【場所】東京大学本郷キャンパス
