daytime,credit,contents,require
【刑事】【】▼9/8金▼18：30～20：30,2,少年事件基礎研修～付添人活動の基礎を知ろう～▼◇門松真由（当会会員）、尾田将彦（当会会員）,◆子どもの権利委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/15金▼18：30～20：30,2,弁護士業務に活かすAI▼～ 進化し続けるAIの弁護士業務への活かし方とその法的問題～▼◇細　和久（日本アイ・ピー・エム株式会社理事）、田上嘉一弁護士（弁護士ドットコム株式会社　執行役員、第二東京弁護士会会員）、竹岡富美男（当会会員）,◆法友倶楽部▼□当会会員／無料▼■大阪弁護士会館
【刑事】【】▼9/22金▼18：00～20：00,2,米国の経験から日本の訴追協力型司法取引について考える▼―ホワイトカラー犯罪を中心に―▼◇Charles B．Sklarsky弁護士、平尾覚（第一東京弁護士会会員）、奥津周（当会会員）,◆刑事弁護委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/24金▼10：00～12：00,2,少年事件基礎研修～付添人活動の基礎を知ろう～▼（2017/9/8ライブ実施分DVD研修）▼◇門松真由（当会会員）、尾田将彦（当会会員）,◆子どもの権利委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
