daytime,credit,contents,require
【憲法・人権・行政法】【】▼12/26水▼18：00～20：00,2,行政専門弁護士養成講座 第18シリーズ▼ 『生活保護法上の論点と行政争訟』▼◇前田雅子（関西学院大学法学部・法学研究科教授）,◆行政問題委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼1/28月▼18：30～20：05,2,弁護士、弁理士、公認会計士が知っておくべきFinTech（フィンテック）の基礎と実践▼◇河野英仁（弁理士）,◆日本弁理士会近畿支部● 日本公認会計士協会近畿会● 大阪弁護士会▼□当会会員／無料▼■日本弁理士会近畿支部
【民事・商事】【】▼3/26火▼10：00～12：00,2,【日弁連ライブ実務研修】改正相続法と家裁実務▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
