daytime,credit,contents,require
【その他】【】▼9/7木▼18：00～20：00,2,各種法人の実務 第2回「学校法人法務入門（仮）」▼◇小國隆輔（当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼9/12火▼17：30～20：00,3,倒産手続実務・基礎研修▼ 第2回「個人再生手続」▼◇当会会員および裁判所書記官の予定,◆司法委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/13水▼14：00～17：00,3,【日弁連ライブ実務研修】生活困窮者に対する法的支援▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/15金▼15：00～17：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/16土▼14：30～16：30,2,憲法問題特別委員会 憲法市民講座▼ 第14回「ビッグデータとプライバシー」▼◇宍戸常寿（東京大学大学院法学政治学研究科教授）,◆憲法問題特別委員会▼□当会会員▼ 一般市民／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/19火▼18：00～20：00,2,各種法人の実務 第3回「医療法人の現状と課題 ～基礎的事項を中心に～」▼◇竹本昌史 （当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼9/21木▼16：30～18：30,2,憲法問題特別委員会連続学習会▼ 第81回「最高裁判所判例をつくりだすための憲法訴訟戦略」▼◇泉 徳治（東京弁護士会会員、元最高裁判事）,◆憲法問題特別委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼9/25月▼15：00～17：00,2,平成29年度 破産管財事務研修（2017/7/4ライブ実施分DVD研修）▼◇檀上信介（大阪地裁第6民事部判事補）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼9/25月▼18：00～20：00,2,各種法人の実務 第4回「社会福祉法人の実務～高齢者事業の基礎的理解を中心に～」▼◇松宮良典 （当会会員）,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼9/27水▼13：30～16：00,3,触法障害者と向き合う刑事弁護（2016/5/27ライブ実施分DVD研修）▼◇西村武彦（札幌弁護士会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼9/29金▼13：00～15：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
